name,team,year,position_w
Jamie Yancher,Seattle Seahawks,2014,Assistant Strength And Conditioning
Frank Cignetti Jr,St. Louis Rams,2014,Quarterbacks
Ben Sirmans,St. Louis Rams,2014,Running Backs
Kenan Smith,St. Louis Rams,2014,Assistant Wide Receivers
Paul Boudreau,St. Louis Rams,2014,Offensive Line
Andy Dickerson,St. Louis Rams,2014,Assistant Offensive Line
Andy Sugarman,St. Louis Rams,2014,Offensive Quality Control
Mike Waufle,St. Louis Rams,2014,Defensive Line
Clyde Simmons,St. Louis Rams,2014,Assistant Defensive Line
Joe Bowden,St. Louis Rams,2014,Assistant Linebackers
Brandon Fisher,St. Louis Rams,2014,Assistant Secondary
Dennard Wilson,St. Louis Rams,2014,Defensive Quality Control
Rock Gullickson,St. Louis Rams,2014,Head Strength And Conditioning
Adam Bailey,St. Louis Rams,2014,Assistant Strength And Conditioning
JAggabao,St. Louis Rams,2014,Assistant Strength And Conditioning
Marcus Arroyo,Tampa Bay Buccaneers,2014,Quarterbacks
Tim Spencer,Tampa Bay Buccaneers,2014,Running Backs
Andrew Hayes-Stoker,Tampa Bay Buccaneers,2014,Wide Receivers
Jon Embree,Tampa Bay Buccaneers,2014,Tight Ends
George Warhop,Tampa Bay Buccaneers,2014,Offensive Line
Matt Wiegand,Tampa Bay Buccaneers,2014,Assistant Offensive Line
Ben Steele,Tampa Bay Buccaneers,2014,Offensive Quality Control
Joe Cullen,Tampa Bay Buccaneers,2014,Defensive Line
Mike Phair,Tampa Bay Buccaneers,2014,Assistant Defensive Line
Hardy Nickerson,Tampa Bay Buccaneers,2014,Linebackers
Gill Byrd,Tampa Bay Buccaneers,2014,Cornerbacks
Mikal Smith,Tampa Bay Buccaneers,2014,Safeties
Dave Borgonzi,Tampa Bay Buccaneers,2014,Defensive Quality Control
Larry Marmie,Tampa Bay Buccaneers,2014,Senior Defensive Assistant
Carlos Polk,Tampa Bay Buccaneers,2014,Assistant Special Teams
Dave Kennedy,Tampa Bay Buccaneers,2014,Head Strength And Conditioning
John McNulty,Tennessee Titans,2014,Quarterbacks
Shawn Jefferson,Tennessee Titans,2014,Wide Receivers
Kevin Patullo,Tennessee Titans,2014,Assistant Wide Receivers
Bob Bostad,Tennessee Titans,2014,Offensive Line
Mike Sullivan,Tennessee Titans,2014,Assistant Offensive Line
Luke Steckel,Tennessee Titans,2014,Offensive Assistant
Giff Smith,Tennessee Titans,2014,Defensive Line
Nick Eason,Tennessee Titans,2014,Assistant Defensive Line
Lou Spanos,Tennessee Titans,2014,Linebackers
Steve Brown,Tennessee Titans,2014,Assistant Secondary
Cannon Matthews,Tennessee Titans,2014,Defensive Quality Control
Nate Kaczor,Tennessee Titans,2014,Special Teams
Steve Hoffman,Tennessee Titans,2014,Assistant Special Teams
Randy Jordan,Washington Redskins,2014,Running Backs
Ike Hilliard,Washington Redskins,2014,Wide Receivers
Wes Phillips,Washington Redskins,2014,Tight Ends
Shane Day,Washington Redskins,2014,Offensive Quality Control/Assistant Offensive Line
Jake Peetz,Washington Redskins,2014,Offensive Quality Control
Jacob Burney,Washington Redskins,2014,Defensive Line
Kirk Olivadotti,Washington Redskins,2014,Inside Linebackers
Brian Baker,Washington Redskins,2014,Outside Linebackers
Aubrey Pleasant,Washington Redskins,2014,Defensive Quality Control
Bradford Banta,Washington Redskins,2014,Assistant Special Teams
Ray Wright,Washington Redskins,2014,Head Strength And Conditioning
Chad Englehart,Washington Redskins,2014,Assistant Strength And Conditioning
Larry Hess,Washington Redskins,2014,Head Athletic Trainer
Stump Mitchell,Arizona Cardinals,2015,Running Backs
Darryl Drake,Arizona Cardinals,2015,Wide Receivers
Rick Christophel,Arizona Cardinals,2015,Tight Ends
Steve Heiden,Arizona Cardinals,2015,Assistant Tight Ends/Assistant Special Teams
Larry Zierlein,Arizona Cardinals,2015,Assistant Offensive Line
David Diaz-Infante,Arizona Cardinals,2015,Offensive Assistant
Kevin Garver,Arizona Cardinals,2015,Offensive Quality Control
Brentson Buckner,Arizona Cardinals,2015,Defensive Line
Larry Foote,Arizona Cardinals,2015,Assistant Linebackers
Nick Rapone,Arizona Cardinals,2015,Defensive Backs
Kevin Ross,Arizona Cardinals,2015,Cornerbacks
Tom Pratt,Arizona Cardinals,2015,Pass Rush Specialist
Anthony Blevins,Arizona Cardinals,2015,Assistant Special Teams
Buddy Morris,Arizona Cardinals,2015,Strength And Conditioning
Roger Kingdom,Arizona Cardinals,2015,Assistant Strength And Conditioning
Joe Banner,Atlanta Falcons,2015,Consultant
Bobby Turner,Atlanta Falcons,2015,Running Backs
Wade Harman,Atlanta Falcons,2015,Tight Ends
Chris Morgan,Atlanta Falcons,2015,Offensive Line
Keith Carter,Atlanta Falcons,2015,Assistant Offensive Line
Mike McDaniel,Atlanta Falcons,2015,Offensive Assistant
Mike LaFleur,Atlanta Falcons,2015,Offensive Assistant
Bryan Cox,Atlanta Falcons,2015,Defensive Line
Jeff Ulbrich,Atlanta Falcons,2015,Linebackers
Doug Mallory,Atlanta Falcons,2015,Defensive Assistant/Linebackers
Chad Walker,Atlanta Falcons,2015,Defensive Assistant/Defensive Backs
Eric Sutulovich,Atlanta Falcons,2015,Assistant Special Teams
Steve Scarnecchia,Atlanta Falcons,2015,Assistant Head
AJ Neibel,Atlanta Falcons,2015,Head Strength And Conditioning
Jonas Beauchemin,Atlanta Falcons,2015,Strength And Conditioning Assistant
Thomas Hammock,Baltimore Ravens,2015,Running Backs
Bobby Engram,Baltimore Ravens,2015,Wide Receivers
Richard Angulo,Baltimore Ravens,2015,Tight Ends
Todd Washington,Baltimore Ravens,2015,Assistant Offensive Line
Craig Ver Steeg,Baltimore Ravens,2015,Senior Offensive Assistant
Andy Bischoff,Baltimore Ravens,2015,Offensive Quality Control
Clarence Brooks,Baltimore Ravens,2015,Defensive Line
Chris Hewitt,Baltimore Ravens,2015,Secondary
Matt Weiss,Baltimore Ravens,2015,Cornerbacks
Drew Wilkins,Baltimore Ravens,2015,Defensive Assistant
Mike Macdonald,Baltimore Ravens,2015,Defensive Assistant
Randy Brown,Baltimore Ravens,2015,Kicking Consultant
David Lee,Buffalo Bills,2015,Quarterbacks
Sanjay Lal,Buffalo Bills,2015,Wide Receivers
Tony Sparano Jr,Buffalo Bills,2015,Tight Ends - 
Kurt Anderson,Buffalo Bills,2015,Assistant Offensive Line - 
Jason Vrable,Buffalo Bills,2015,Offensive Quality Control
Karl Dunbar,Buffalo Bills,2015,Defensive Line
Jeff Weeks,Buffalo Bills,2015,Assistant Defensive Line
Jason Rebrovich,Buffalo Bills,2015,Outside Linebackers
Bobby April III,Buffalo Bills,2015,Linebackers
Tim McDonald,Buffalo Bills,2015,Defensive Backs
D'Anton Lynn,Buffalo Bills,2015,Defensive Assistant
Eric Smith,Buffalo Bills,2015,Assistant Special Teams - 
Michael Hamlin,Buffalo Bills,2015,Special Teams Quality Control
Deuce Schwartz,Buffalo Bills,2015,Coaching Assistant
Eric Ciano,Buffalo Bills,2015,Head Strength And Conditioning
Hal Luther,Buffalo Bills,2015,Assistant Strength And Conditioning
Dan Liburd,Buffalo Bills,2015,Assistant Strength And Conditioning
Jason Oszvart,Buffalo Bills,2015,Assistant Strength And Conditioning
Mark Loecher,Buffalo Bills,2015,Assistant Strength And Conditioning
Ken Dorsey,Carolina Panthers,2015,Quarterbacks
Ricky Proehl,Carolina Panthers,2015,Wide Receivers
Cam Turner,Carolina Panthers,2015,Assistant Wide Receivers
Pete Hoener,Carolina Panthers,2015,Tight Ends
John Matsko,Carolina Panthers,2015,Offensive Line
Ray Brown,Carolina Panthers,2015,Assistant Offensive Line
John Ramsdell,Carolina Panthers,2015,Senior Offensive Assistant
Sam Mills III,Carolina Panthers,2015,Assistant Defensive Line
Richard Rodgers,Carolina Panthers,2015,Assistant Defensive Backs
Russ Purnell,Carolina Panthers,2015,Assistant Special Teams
Curtis Fuller,Carolina Panthers,2015,Assistant Special Teams/Nickelbacks
Joe Kenn,Carolina Panthers,2015,Strength And Conditioning
Jason Benguche,Carolina Panthers,2015,Assistant Strength And Conditioning
Stan Drayton,Chicago Bears,2015,Running Backs
Frank Smith,Chicago Bears,2015,Tight Ends
Dave Magazu,Chicago Bears,2015,Offensive Line
Ben Wilkerson,Chicago Bears,2015,Assistant Offensive Line
Bo Hardegree,Chicago Bears,2015,Offensive Assistant
Jay Rodgers,Chicago Bears,2015,Defensive Line
Glenn Pires,Chicago Bears,2015,Inside Linebackers
Clint Hurtt,Chicago Bears,2015,Outside Linebackers
Sam Garnes,Chicago Bears,2015,Assistant Defensive Backs
Sean Desai,Chicago Bears,2015,Defensive Quality Control
Derius Swinton II,Chicago Bears,2015,Assistant Special Teams
Paul Alexander,Cincinnati Bengals,2015,Assistant Head/Offensive Line
Kyle Caskey,Cincinnati Bengals,2015,Running Backs
James Urban,Cincinnati Bengals,2015,Wide Receivers
Jonathan Hayes,Cincinnati Bengals,2015,Tight Ends
Brian Braswell,Cincinnati Bengals,2015,Offensive Assistant/Quality Control
Jay Hayes,Cincinnati Bengals,2015,Defensive Line
David Lippincott,Cincinnati Bengals,2015,Assistant Linebackers/Quality Control
Mark Carrier,Cincinnati Bengals,2015,Defensive Backs
Marcus Lewis,Cincinnati Bengals,2015,Defensive Assistant/Quality Control
Robert Livingston,Cincinnati Bengals,2015,Assistant Special Teams/Defensive Quality Control
Brayden Coombs,Cincinnati Bengals,2015,Assistant Special Teams/Quality Control
Chip Morton,Cincinnati Bengals,2015,Strength And Conditioning
Jeff Friday,Cincinnati Bengals,2015,Strength And Conditioning Assistant
Jim Brown,Cleveland Browns,2015,Special Advisor
Steve Gera,Cleveland Browns,2015,Special Assistant/Head Of Innovation
Wilbert Montgomery,Cleveland Browns,2015,Running Backs
Joker Phillips,Cleveland Browns,2015,Wide Receivers
Frank Edgerly,Cleveland Browns,2015,Assistant Wide Receivers
Brian Angelichio,Cleveland Browns,2015,Tight Ends
George DeLeone,Cleveland Browns,2015,Offensive Line
Kurt Roper,Cleveland Browns,2015,Senior Offensive Assistant
Michael McCarthy,Cleveland Browns,2015,Offensive Quality Control
Anthony Weaver,Cleveland Browns,2015,Defensive Line
Chuck Driesbach,Cleveland Browns,2015,Linebackers
Brian Fleury,Cleveland Browns,2015,Assistant Linebackers
Jeff Hafley,Cleveland Browns,2015,Defensive Backs
Bobby Babich,Cleveland Browns,2015,Assistant Defensive Backs
Aaron Glenn,Cleveland Browns,2015,Assistant Defensive Backs
Tony Tuioti,Cleveland Browns,2015,Defensive Quality Control
Shawn Mennenga,Cleveland Browns,2015,Special Teams Assistant
Paul Ricci,Cleveland Browns,2015,Strength And Conditioning
Mike Wolf,Cleveland Browns,2015,Assistant Strength And Conditioning
Derik Keyes,Cleveland Browns,2015,Assistant Strength And Conditioning
Wade Wilson,Dallas Cowboys,2015,Quarterbacks
Gary Brown,Dallas Cowboys,2015,Running Backs
Derek Dooley,Dallas Cowboys,2015,Wide Receivers
Kyle Valero,Dallas Cowboys,2015,Assistant Wide Receivers
Frank Pollack,Dallas Cowboys,2015,Offensive Line
Marc Colombo,Dallas Cowboys,2015,Assistant Offensive Line
Jimmy Robinson,Dallas Cowboys,2015,Senioring Consultant/Offensive Consultant
Kevin Carberry,Dallas Cowboys,2015,Offensive Assistant
Jerome Henderson,Dallas Cowboys,2015,Secondary
Joe Baker,Dallas Cowboys,2015,Assistant Secondary
Turner West,Dallas Cowboys,2015,Defensive Assistant
Leon Lett,Dallas Cowboys,2015,Defensive Assistant/Defensive Line
Ben Bloom,Dallas Cowboys,2015,Defensive Quality Control/Linebackers
Keith O'Quinn,Dallas Cowboys,2015,Assistant Special Teams/Kickers
Mike Woicik,Dallas Cowboys,2015,Strength And Conditioning
Brett Bech,Dallas Cowboys,2015,Assistant Strength And Conditioning
Kendall Smith,Dallas Cowboys,2015,Assistant Strength And Conditioning
Tyke Tolbert,Denver Broncos,2015,Wide Receivers
Marc Lubick,Denver Broncos,2015,Assistant Wide Receivers
Brian Pariani,Denver Broncos,2015,Tight Ends
Clancy Barone,Denver Broncos,2015,Offensive Line
James Cregg,Denver Broncos,2015,Offensive Line Assistant
Phil Rauscher,Denver Broncos,2015,Coaching Assistant
Bill Kollar,Denver Broncos,2015,Defensive Line
Reggie Herring,Denver Broncos,2015,Linebackers
Samson Brown,Denver Broncos,2015,Assistant Secondary
Chris Beake,Denver Broncos,2015,Defensive Assistant
Thad Bogardus,Denver Broncos,2015,Coaching Intern
Tony Coaxum,Denver Broncos,2015,Assistant Special Teams
Chris Gould,Denver Broncos,2015,Coaching Assistant
Luke Richesson,Denver Broncos,2015,Strength And Conditioning
Mike Eubanks,Denver Broncos,2015,Assistant Strength And Conditioning
Anthony Lomando,Denver Broncos,2015,Assistant Strength And Conditioning
Dennis Love,Denver Broncos,2015,Assistant Strength And Conditioning
Winston Moss,Green Bay Packers,2015,Assistant Head/Linebackers
Sam Gash,Green Bay Packers,2015,Running Backs
Jerry Fontenot,Green Bay Packers,2015,Tight Ends
James Campen,Green Bay Packers,2015,Offensive Line
Luke Getsy,Green Bay Packers,2015,Offensive Quality Control
Scott McCurley,Green Bay Packers,2015,Assistant Linebackers
Joe Whitt Jr,Green Bay Packers,2015,Secondary Cornerbacks
Darren Perry,Green Bay Packers,2015,Secondary Safeties
Jerry Montgomery,Green Bay Packers,2015,Defensive Front Assistant
John Rushing,Green Bay Packers,2015,Defensive Quality Control
Jason Simmons,Green Bay Packers,2015,Assistant Special Teams
Chris Gizzi,Green Bay Packers,2015,Strength And Conditioning Assistant
Thadeus Jackson,Green Bay Packers,2015,Strength And Conditioning Assistant
Charles London,Houston Texans,2015,Running Backs
Stan Hixon,Houston Texans,2015,Wide Receivers
John Perry,Houston Texans,2015,Tight Ends
Mike Devlin,Houston Texans,2015,Offensive Line
Pat O'Hara,Houston Texans,2015,Offensive Assistant
John Butler,Houston Texans,2015,Secondary
Anthony Midget,Houston Texans,2015,Assistant Secondary
Anthony Pleasant,Houston Texans,2015,Defensive Assistant
Will Lawing,Houston Texans,2015,Defensive Quality Control
Doug Colman,Houston Texans,2015,Assistant Special Teams
Craig Fitzgerald,Houston Texans,2015,Head Strength And Conditioning
Sean Hayes,Houston Texans,2015,Assistant Strength And Conditioning
Brian Bell,Houston Texans,2015,Assistant Strength And Conditioning
Charlie Williams,Indianapolis Colts,2015,Running Backs
Alfredo Roberts,Indianapolis Colts,2015,Tight Ends
Joe Gilbert,Indianapolis Colts,2015,Offensive Line
Frank Giufre,Indianapolis Colts,2015,Offensive Quality Control
Gary Emanuel,Indianapolis Colts,2015,Defensive Line
Jeff FitzGerald,Indianapolis Colts,2015,Linebackers
Brad White,Indianapolis Colts,2015,Outside Linebackers
Mike Gillhamer,Indianapolis Colts,2015,Secondary
Roy Anderson,Indianapolis Colts,2015,Safeties
Tim Berbenich,Indianapolis Colts,2015,Defensive Assistant
Brant Boyer,Indianapolis Colts,2015,Assistant Special Teams
Roger Marandino,Indianapolis Colts,2015,Strength And Conditioning
Richard Howell,Indianapolis Colts,2015,Assistant Strength And Conditioning
Tyler Wolf,Jacksonville Jaguars,2015,Assistant Head
ElizaBeth Mayers,Jacksonville Jaguars,2015,Assistant Head And Administrator Ofing Operations
Kelly Skipper,Jacksonville Jaguars,2015,Running Backs
Ron Middleton,Jacksonville Jaguars,2015,Tight Ends/Assistant Special Teams
Luke Butkus,Jacksonville Jaguars,2015,Assistant Offensive Line
Frank Scelfo,Jacksonville Jaguars,2015,Senior Offensive Assistant
Tony Sorrentino,Jacksonville Jaguars,2015,Offensive Assistant/Quality Control
Chris O'Hara,Jacksonville Jaguars,2015,Offensiveing Associate
Scottie Hazelton,Jacksonville Jaguars,2015,Assistant Linebackers
DeWayne Walker,Jacksonville Jaguars,2015,Defensive Backs
Mike Rutenberg,Jacksonville Jaguars,2015,Assistant Defensive Backs
Dan Shamash,Jacksonville Jaguars,2015,Defensive Quality Control
Aaron Whitecotton,Jacksonville Jaguars,2015,Assistant Defensive Staff
Matthew Smiley,Jacksonville Jaguars,2015,Assistant Special Teams
Alex Hampton,Jacksonville Jaguars,2015,Strength And Conditioning Associate
Jess Langvardt,Jacksonville Jaguars,2015,Strength And Conditioning Associate
Cedric Scott,Jacksonville Jaguars,2015,Assistant Strength And Conditioning
David Culley,Kansas City Chiefs,2015,Assistant Head/Wide Receivers
Kyle Childress,Kansas City Chiefs,2015,Senior Assistant Head
Corey Matthaei,Kansas City Chiefs,2015,Assistant Quarterbacks
Tom Melvin,Kansas City Chiefs,2015,Tight Ends
Andy Heck,Kansas City Chiefs,2015,Offensive Line
Eugene Chung,Kansas City Chiefs,2015,Assistant Offensive Line
Tommy Brasher,Kansas City Chiefs,2015,Defensive Line
Britt Reid,Kansas City Chiefs,2015,Assistant Defensive Line
Mark DeLeone,Kansas City Chiefs,2015,Assistant Linebackers
Al Harris,Kansas City Chiefs,2015,Assistant Secondary
Dino Vasso,Kansas City Chiefs,2015,Coaching Assistant
Dave Toub,Kansas City Chiefs,2015,Special Teams
Brock Olivo,Kansas City Chiefs,2015,Assistant Special Teams
Barry Rubin,Kansas City Chiefs,2015,Strength And Conditioning
Travis Crittenden,Kansas City Chiefs,2015,Assistant Strength And Conditioning
Brent Salazar,Kansas City Chiefs,2015,Assistant Strength And Conditioning
Jeff Nixon,Miami Dolphins,2015,Running Backs
Phil McGeoghan,Miami Dolphins,2015,Wide Receivers
Ben Johnson,Miami Dolphins,2015,Tight Ends
Mike Wahle,Miami Dolphins,2015,Assistant Tight Ends
John Benton,Miami Dolphins,2015,Offensive Line
Jack Bicknell Jr,Miami Dolphins,2015,Assistant Offensive Line
Ben Martin,Miami Dolphins,2015,Offensive Assistant
Ken O'Keefe,Miami Dolphins,2015,Senior Offensive Assistant
Terrell Williams,Miami Dolphins,2015,Defensive Line
Charlie Bullen,Miami Dolphins,2015,Assistant Defensive Line
David Corrao,Miami Dolphins,2015,Assistant Linebackers
,Miami Dolphins,2015,Defensive Backs
Blue Adams,Miami Dolphins,2015,Assistant Defensive Backs
Jeff Burris,Miami Dolphins,2015,Assistant Defensive Backs
Darren Krein,Miami Dolphins,2015,Head Strength And Conditioning
David Puloka,Miami Dolphins,2015,Assistant Strength And Conditioning
Scott Turner,Minnesota Vikings,2015,Quarterbacks
Kirby Wilson,Minnesota Vikings,2015,Running Backs
George Stewart,Minnesota Vikings,2015,Wide Receivers
Drew Petzing,Minnesota Vikings,2015,Assistant Wide Receivers
Hank Fraley,Minnesota Vikings,2015,Assistant Offensive Line
Andrew Janocko,Minnesota Vikings,2015,Offensive Quality Control
Andre Patterson,Minnesota Vikings,2015,Defensive Line
Robert Rodriguez,Minnesota Vikings,2015,Assistant Defensive Line
Jeff Howard,Minnesota Vikings,2015,Defensive Assistant
Adam Zimmer,Minnesota Vikings,2015,Linebackers
Jonathan Gannon,Minnesota Vikings,2015,Assistant Defensive Backs/Defensive Quality Control
Ryan Ficken,Minnesota Vikings,2015,Assistant Special Teams
Eric Sugarman,Minnesota Vikings,2015,Head Athletic Trainer
Evan Marcus,Minnesota Vikings,2015,Head Strength And Conditioning
Jeff Hurd,Minnesota Vikings,2015,Assistant Strength And Conditioning
Chaz Mahle,Minnesota Vikings,2015,Assistant Strength And Conditioning
Michael Lombardi,New England Patriots,2015,Assistant Coaching Staff
Ivan Fears,New England Patriots,2015,Running Backs
Dave DeGuglielmo,New England Patriots,2015,Offensive Line
Nick Caley,New England Patriots,2015,Offensive Assistant
Jerry Schuplinski,New England Patriots,2015,Coaching Assistant
Brendan Daly,New England Patriots,2015,Defensive Line
Josh Boyer,New England Patriots,2015,Cornerbacks
Steve Belichick,New England Patriots,2015,Coaching Assistant
Joe Judge,New England Patriots,2015,Special Teams
Raymond Ventrone,New England Patriots,2015,Assistant Special Teams
Harold Nash,New England Patriots,2015,Strength And Conditioning
Moses Cabrera,New England Patriots,2015,Assistant Strength And Conditioning
Mike Neu,New Orleans Saints,2015,Quarterbacks
Joel Thomas,New Orleans Saints,2015,Running Backs
Dan Roushar,New Orleans Saints,2015,Tight Ends
Bret Ingalls,New Orleans Saints,2015,Offensive Line
Kyle DeVan,New Orleans Saints,2015,Offensive Assistant
Greg Lewis,New Orleans Saints,2015,Offensive Assistant
Brendan Nugent,New Orleans Saints,2015,Offensive Assistant
Bill Johnson,New Orleans Saints,2015,Defensive Line
Brian Young,New Orleans Saints,2015,Outside Linebackers
Wesley McGriff,New Orleans Saints,2015,Secondary
Marcus Ungaro,New Orleans Saints,2015,Defensive Assistant
James Willis,New Orleans Saints,2015,Defensive Assistant
Stan Kwan,New Orleans Saints,2015,Assistant Special Teams
Mike Caldwell,New York Jets,2015,Assistant Head/Inside Linebackers
Kevin Patullo,New York Jets,2015,Quarterbacks
Marcel Shipp,New York Jets,2015,Running Backs
Karl Dorrell,New York Jets,2015,Wide Receivers
Jimmie Johnson,New York Jets,2015,Tight Ends
Steve Marshall,New York Jets,2015,Offensive Line
Ron Heller,New York Jets,2015,Assistant Offensive Line
Robby Brown,New York Jets,2015,Offensive Quality Control
Pepper Johnson,New York Jets,2015,Defensive Line
Ryan Slowik,New York Jets,2015,Assistant Defensive Line
Mark Collins,New York Jets,2015,Outside Linebackers
Joe Danna,New York Jets,2015,Defensive Backs
Daylon McCutcheon,New York Jets,2015,Assistant Defensive Backs
John Scott Jr,New York Jets,2015,Defensive Quality Control
Bobby April,New York Jets,2015,Special Teams
Steve Hagen,New York Jets,2015,Assistant Special Teams
Justus Galac,New York Jets,2015,Head Strength And Conditioning
Kavan Latham,New York Jets,2015,Assistant Strength And Conditioning
Aaron McLaurin,New York Jets,2015,Assistant Strength And Conditioning
Bernie Parmalee,Oakland Raiders,2015,Running Backs
Rob Moore,Oakland Raiders,2015,Wide Receivers
Bobby Johnson,Oakland Raiders,2015,Tight Ends
Tim Holt,Oakland Raiders,2015,Assistant Offensive Line
Jake Peetz,Oakland Raiders,2015,Senior Offensive Assistant
Nick Holz,Oakland Raiders,2015,Offensive Quality Control
Jethro Franklin,Oakland Raiders,2015,Defensive Line
Sal Sunseri,Oakland Raiders,2015,Linebackers
Brent Vieselmeyer,Oakland Raiders,2015,Assistant Linebackers
Marcus Robertson,Oakland Raiders,2015,Defensive Backs
Rod Woodson,Oakland Raiders,2015,Assistant Defensive Backs
Sam Anno,Oakland Raiders,2015,Defensive Assistant
Travis Smith,Oakland Raiders,2015,Defensive Quality Control
Tracy Smith,Oakland Raiders,2015,Assistant Special Teams
Joe Gomes,Oakland Raiders,2015,Head Strength And Conditioning
Darryl Eto,Oakland Raiders,2015,Assistant Strength And Conditioning
Kevin Kijowski,Oakland Raiders,2015,Assistant Strength And Conditioning
Wesley Miller,Oakland Raiders,2015,Assistant Strength And Conditioning
Jerry Azzinaro,Philadelphia Eagles,2015,Assistant Head/Defensive Line
Ryan Day,Philadelphia Eagles,2015,Quarterbacks
Duce Staley,Philadelphia Eagles,2015,Running Backs
Bob Bicknell,Philadelphia Eagles,2015,Wide Receivers
Justin Peelle,Philadelphia Eagles,2015,Tight Ends
Jeff Stoutland,Philadelphia Eagles,2015,Offensive Line
Greg Austin,Philadelphia Eagles,2015,Assistant Offensive Line
Press Taylor,Philadelphia Eagles,2015,Offensive Quality Control
Mike Dawson,Philadelphia Eagles,2015,Assistant Defensive Line
Bill McGovern,Philadelphia Eagles,2015,Outside Linebackers
Rick Minter,Philadelphia Eagles,2015,Inside Linebackers
Brian Smith,Philadelphia Eagles,2015,Assistant Linebackers
Cory Undlin,Philadelphia Eagles,2015,Defensive Backs
Stephen Thomas,Philadelphia Eagles,2015,Defensive Quality Control
Michael Clay,Philadelphia Eagles,2015,Assistant Special Teams
Josh Hingst,Philadelphia Eagles,2015,Head Strength And Conditioning
Quadrian Banks,Philadelphia Eagles,2015,Assistant Strength And Conditioning
Keith Gray,Philadelphia Eagles,2015,Assistant Strength And Conditioning
John Mitchell,Pittsburgh Steelers,2015,Assistant Head/Defensive Line
James Saxon,Pittsburgh Steelers,2015,Running Backs
Richard Mann,Pittsburgh Steelers,2015,Wide Receivers
James Daniel,Pittsburgh Steelers,2015,Tight Ends
Shaun Sarrett,Pittsburgh Steelers,2015,Offensive Assistant
Jerry Olsavsky,Pittsburgh Steelers,2015,Inside Linebackers
Joey Porter,Pittsburgh Steelers,2015,Outside Linebackers
Carnell Lake,Pittsburgh Steelers,2015,Defensive Backs
Steve Meyer,Pittsburgh Steelers,2015,Defensive Assistant
Garrett Giemont,Pittsburgh Steelers,2015,Strength And Conditioning
Marcel Pastoor,Pittsburgh Steelers,2015,Conditioning Assistant
Ollie Wilson,San Diego Chargers,2015,Running Backs
Fred Graves,San Diego Chargers,2015,Wide Receivers
Pete Metzelaars,San Diego Chargers,2015,Tight Ends
Joe D'Alessandris,San Diego Chargers,2015,Offensive Line
Andrew Dees,San Diego Chargers,2015,Assistant Offensive Line
Shane Steichen,San Diego Chargers,2015,Offensive Quality Control
Don Johnson,San Diego Chargers,2015,Defensive Line
Bobby King,San Diego Chargers,2015,Assistant Linebackers
Ron Milus,San Diego Chargers,2015,Secondary
Greg Williams,San Diego Chargers,2015,Assistant Secondary
Chris Shula,San Diego Chargers,2015,Defensive Quality Control
Kent Johnston,San Diego Chargers,2015,Strength And Conditioning
Rick Lyle,San Diego Chargers,2015,Assistant Strength And Conditioning
Bill Nayes,San Francisco 49ers,2015,Special Assistant Head
Steve Logan,San Francisco 49ers,2015,Quarterbacks
Tom Rathman,San Francisco 49ers,2015,Running Backs
Ronald Curry,San Francisco 49ers,2015,Wide Receivers
Adam Henry,San Francisco 49ers,2015,Wide Receivers
Eric Wolford,San Francisco 49ers,2015,Assistant Offensive Line
DJ Boldin,San Francisco 49ers,2015,Offensive Assistant
TC McCartney,San Francisco 49ers,2015,Offensive Assistant
Joe Scola,San Francisco 49ers,2015,Offensive Assistant
Scott Brown,San Francisco 49ers,2015,Defensive Line
Ejiro Evero,San Francisco 49ers,2015,Defensive Assistant
Aubrayo Franklin,San Francisco 49ers,2015,Defensive Assistant
Mick Lombardi,San Francisco 49ers,2015,Defensive Assistant
Richard Hightower,San Francisco 49ers,2015,Assistant Special Teams
Brian Johnson,San Francisco 49ers,2015,Strength &Amp; Conditioning Assistant
David Young,San Francisco 49ers,2015,Strength &Amp; Conditioning Assistant
Rocky Seto,Seattle Seahawks,2015,Assistant Head/Defense
Dave Canales,Seattle Seahawks,2015,Wide Receivers
Nate Carroll,Seattle Seahawks,2015,Assistant Wide Receivers
Pat McPherson,Seattle Seahawks,2015,Tight Ends
Pat Ruel,Seattle Seahawks,2015,Assistant Offensive Line
Brennan Carroll,Seattle Seahawks,2015,Assistant Offensive Line
Will Harriger,Seattle Seahawks,2015,Offensive Assistant
Keith Carter,Seattle Seahawks,2015,Quality Control/Offense
Travis Jones,Seattle Seahawks,2015,Defensive Line
Dwaine Board,Seattle Seahawks,2015,Assistant Defensive Line
Micheal Barrow,Seattle Seahawks,2015,Linebackers
Lofa Tatupu,Seattle Seahawks,2015,Assistant Linebackers
Chris Cash,Seattle Seahawks,2015,Assistant Secondary Cornerbacks
Andre Curtis,Seattle Seahawks,2015,Assistant Secondary Safeties
Chad Morton,Seattle Seahawks,2015,Assistant Special Teams
Nick Sorensen,Seattle Seahawks,2015,Assistant Special Teams
Chris Carlisle,Seattle Seahawks,2015,Head Strength And Conditioning
Mondray Gee,Seattle Seahawks,2015,Assistant Strength And Conditioning
Jamie Yancher,Seattle Seahawks,2015,Assistant Strength And Conditioning
Chris Weinke,St. Louis Rams,2015,Quarterbacks
Ben Sirmans,St. Louis Rams,2015,Running Backs
Kenan Smith,St. Louis Rams,2015,Tight Ends
Paul Boudreau,St. Louis Rams,2015,Offensive Line
Andy Dickerson,St. Louis Rams,2015,Assistant Offensive Line
